Date,Open,High,Low,Close
8/11/2018,382.6295684,397.7576364,381.2738416,395.8746661
8/12/2018,386.6098556,395.3491715,374.8664864,382.6326321
9/1/2018,383.9774368,391.873264,378.705855,386.4661242
9/2/2018,408.071685,408.5279297,374.3553912,384.001043
9/3/2018,391.6789863,409.3885812,389.3146026,408.1442071
9/4/2018,395.5628392,396.4904174,385.0398089,391.3844998
9/5/2018,389.0311114,396.4665892,382.8146375,395.8351412
9/6/2018,416.1487741,418.6379801,387.441124,389.1263503
9/7/2018,406.7589136,418.7344485,404.0261038,416.4397949
9/8/2018,423.7386008,427.0246492,396.6783416,406.4637868
9/9/2018,429.6696196,432.5802957,419.6741074,423.6693157
9/10/2018,433.973761,442.7349739,422.6472811,429.5312523
9/11/2018,433.3505982,436.2658287,415.0862551,433.78661
9/12/2018,437.5629959,441.7546006,429.8745908,433.3549265
